"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jun 11 07:19:20 GMT 2022","Sat Jun 11 07:19:20 GMT 2022","148","","ParabankTest","","ParabankTest","openNewAccountInParabank","openNewAccountInParabank()","Navigation to the overview page and create a new account"
"broken","Sat Jun 11 07:19:20 GMT 2022","Sat Jun 11 07:19:20 GMT 2022","172","","ParabankTest","","ParabankTest","totalAmountInParabank","totalAmountInParabank()","Navigation to the overview page and check total amount"
"broken","Sat Jun 11 07:19:20 GMT 2022","Sat Jun 11 07:19:20 GMT 2022","198","","ParabankTest","","ParabankTest","transferFundInParabank","transferFundInParabank()","Navigation to the transfer page and create a new account"
"broken","Sat Jun 11 07:19:19 GMT 2022","Sat Jun 11 07:19:20 GMT 2022","664","","ParabankTest","","ParabankTest","loginToParabank","loginToParabank()","Navigation to the login page and login to the site"
