"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 10 09:15:22 GMT 2022","Fri Jun 10 09:15:22 GMT 2022","153","","ParabankTest","","ParabankTest","totalAmountInParabank","totalAmountInParabank()","Navigation to the overview page and check total amount"
"broken","Fri Jun 10 09:15:21 GMT 2022","Fri Jun 10 09:15:22 GMT 2022","904","","ParabankTest","","ParabankTest","loginToParabank","loginToParabank()","Navigation to the login page and login to the site"
"broken","Fri Jun 10 09:15:22 GMT 2022","Fri Jun 10 09:15:23 GMT 2022","201","","ParabankTest","","ParabankTest","openNewAccountInParabank","openNewAccountInParabank()","Navigation to the overview page and create a new account"
