"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jun 11 06:20:38 GMT 2022","Sat Jun 11 06:20:38 GMT 2022","628","","ParabankTest","","ParabankTest","loginToParabank","loginToParabank()","Navigation to the login page and login to the site"
"broken","Sat Jun 11 06:20:39 GMT 2022","Sat Jun 11 06:20:39 GMT 2022","170","","ParabankTest","","ParabankTest","totalAmountInParabank","totalAmountInParabank()","Navigation to the overview page and check total amount"
"broken","Sat Jun 11 06:20:39 GMT 2022","Sat Jun 11 06:20:39 GMT 2022","186","","ParabankTest","","ParabankTest","openNewAccountInParabank","openNewAccountInParabank()","Navigation to the overview page and create a new account"
